X,Y,OBJECTID,STNCODE,STNNAME,CITY2,STATE,STFIPS,station,station_name,Total Riders
-70.9587,42.98102,102,EXR,"Exeter, New Hampshire",Exeter,NH,33,"Exeter, New Hampshire",Exeter,"88,500"
-87.9063,42.718292,105,SVT,"Sturtevant, Wisconsin",Sturtevant,WI,55,"Sturtevant, Wisconsin",Sturtevant,"82,814"
-78.782246,35.788294,98,CYN,"Cary, North Carolina",Cary,NC,37,"Cary, North Carolina",Cary,"81,534"
-75.710775,40.002193,104,DOW,"Downingtown, Pennsylvania",Downingtown,PA,42,"Downingtown, Pennsylvania",Downingtown,"81,154"
-118.448206,34.211294,108,VNC,"Van Nuys (Amtrak), California",Van Nuys,CA,6,"Van Nuys (Amtrak), California",Van Nuys ,"75,985"
-78.906299,35.997347,109,DNC,"Durham, North Carolina",Durham,NC,37,"Durham, North Carolina","Durham, NC","74,089"
-83.235311,42.307167,117,DER,"Dearborn, Michigan",Dearborn,MI,26,"Dearborn, Michigan",Dearborn,"72,270"
-84.392477,33.799445,103,ATL,"Atlanta, Georgia",Atlanta,GA,13,"Atlanta, Georgia",Atlanta,"70,900"
-119.812123,39.528521,113,RNO,"Reno, Nevada",Reno,NV,32,"Reno, Nevada",Reno,"70,518"
-90.059109,35.132458,110,MEM,"Memphis, Tennessee",Memphis,TN,47,"Memphis, Tennessee",Memphis,"70,182"
-84.495962,42.718731,118,LNS,"East Lansing, Michigan",East Lansing,MI,26,"East Lansing, Michigan",East Lansing,"68,294"
-76.730943,40.192569,115,MID,"Middletown, Pennsylvania",Middletown,PA,42,"Middletown, Pennsylvania",Middletown,"68,047"
-72.376818,41.30039,123,OSB,"Old Saybrook, Connecticut",Old Saybrook,CT,9,"Old Saybrook, Connecticut",Old Saybrook,"67,503"
-90.136276,38.904723,128,ALN,"Alton, Illinois",Alton,IL,17,"Alton, Illinois",Alton,"66,591"
-81.723893,30.365601,112,JAX,"Jacksonville, Florida",Jacksonville,FL,12,"Jacksonville, Florida",Jacksonville,"66,085"
-83.072397,42.368097,147,DET,"Detroit, Michigan",Detroit,MI,26,"Detroit, Michigan",Detroit,"65,548"
-106.647975,35.082061,107,ABQ,"Albuquerque, New Mexico",Albuquerque,NM,35,"Albuquerque, New Mexico",Albuquerque,"64,382"
-118.599417,34.253205,125,CWT,"Chatsworth, California",Chatsworth,CA,6,"Chatsworth, California",Chatsworth,"64,063"
-70.878361,43.197968,143,DOV,"Dover, New Hampshire",Dover,NH,33,"Dover, New Hampshire",Dover,"64,053"
-118.353767,34.193072,127,BUR,"Burbank (Airport), California",Burbank Bob Hope Airport,CA,6,"Burbank (Airport), California",Burbank / Airport,"63,560"
-80.257759,25.849554,120,MIA,"Miami, Florida",Miami,FL,12,"Miami, Florida",Miami,"63,500"
-97.12551,34.172465,377,ADM,"Ardmore, Oklahoma",Ardmore,OK,40,"Ardmore, Oklahoma",Ardmore,"63,493"
-77.457203,38.298413,133,FBG,"Fredericksburg, Virginia",Fredericksburg,VA,51,"Fredericksburg, Virginia",Fredericksburg,"60,947"
-88.078766,41.52524,131,JOL,"Joliet, Illinois",Joliet,IL,17,"Joliet, Illinois",Joliet,"60,618"
-90.67094,40.461212,116,MAC,"Macomb, Illinois",Macomb,IL,17,"Macomb, Illinois",Macomb,"60,081"
-75.223434,43.103892,130,UCA,"Utica, New York",Utica,NY,36,"Utica, New York",Utica,"59,423"
-122.099277,37.665997,150,HAY,"Hayward, California",Hayward,CA,6,"Hayward, California",Hayward,"57,993"
-70.936013,43.139328,121,DHM,"Durham, New Hampshire",Durham,NH,33,"Durham, New Hampshire","Durham, NH","57,772"
-70.612192,43.320836,149,WEM,"Wells, Maine",Wells,ME,23,"Wells, Maine",Wells,"56,960"
-79.156934,37.406439,101,LYH,"Lynchburg, Virginia",Lynchburg,VA,51,"Lynchburg, Virginia",Lynchburg,"56,866"
-76.708564,37.276414,129,WBG,"Williamsburg, Virginia",Williamsburg,VA,51,"Williamsburg, Virginia",Williamsburg,"56,354"
-87.805562,42.075038,136,GLN,"Glenview, Illinois",Glenview,IL,17,"Glenview, Illinois",Glenview,"55,497"
-114.335575,48.413474,140,WFH,"Whitefish, Montana",Whitefish,MT,30,"Whitefish, Montana",Whitefish,"55,210"
-123.028331,44.932331,126,SLM,"Salem, Oregon",Salem,OR,41,"Salem, Oregon",Salem,"55,090"
-119.034114,34.215933,155,CML,"Camarillo, California (Trains)",Camarillo,CA,6,"Camarillo, California (Trains)",Camarillo,"54,868"
-90.406761,38.581067,138,KWD,"Kirkwood, Missouri",Kirkwood,MO,29,"Kirkwood, Missouri",Kirkwood,"54,369"
-77.908029,35.723135,132,WLN,"Wilson, North Carolina",Wilson,NC,37,"Wilson, North Carolina",Wilson,"53,934"
-81.148264,32.083412,135,SAV,"Savannah, Georgia",Savannah,GA,13,"Savannah, Georgia",Savannah,"53,769"
-98.478143,29.41935,144,SAS,"San Antonio, Texas",San Antonio,TX,48,"San Antonio, Texas",San Antonio,"52,719"
-80.062184,26.712554,134,WPB,"West Palm Beach, Florida",West Palm Beach,FL,12,"West Palm Beach, Florida",West Palm Beach,"52,572"
